ลำดับ,ชื่อชุดการแสดง,words,match_sources
1,กรุงเทพ,"กระบวนท่ารำ, กรุงเทพ, กินเนสส์บุ๊ค, นางฟ้า, วาดภาพ, หนังใหญ่, เทวดา",กระบวนท่ารำ:desc_fuzzy; กรุงเทพ:name_exact; กินเนสส์บุ๊ค:desc_exact; นางฟ้า:desc_exact; วาดภาพ:desc_exact; หนังใหญ่:desc_exact; เทวดา:desc_exact
2,กีปัสเรนัง,"ขบวนแห่, ขับไล่, ชาวพื้นเมือง, บุหรงซีงอ, ปัดเป่า, ปัตตานี, พัดเรนัง, ภาคใต้, มลายู",ขบวนแห่:desc_exact; ขับไล่:desc_exact; ชาวพื้นเมือง:desc_exact; บุหรงซีงอ:desc_exact; ปัดเป่า:desc_exact; ปัตตานี:desc_exact; พัดเรนัง:desc_exact; ภาคใต้:desc_exact; มลายู:desc_exact
3,จตุรภาคี,"ตารี, ตารีกีปัส, ภาคกลาง, ภาคตะวันออกเฉียงเหนือ, ภาคเหนือ, ภาคใต้, สี่ภาค, เถิดเทิง",ตารี:desc_exact; ตารีกีปัส:desc_exact; ภาคกลาง:desc_exact; ภาคตะวันออกเฉียงเหนือ:desc_exact; ภาคเหนือ:desc_exact; ภาคใต้:desc_exact; สี่ภาค:desc_exact; เถิดเทิง:desc_exact
4,ชาวดอย,"การละเล่นพื้นเมือง, ชาวพื้นเมือง, ภาคเหนือ, เกษตรกรรม",การละเล่นพื้นเมือง:desc_exact; ชาวพื้นเมือง:name_exact; ภาคเหนือ:desc_exact; เกษตรกรรม:desc_exact
5,เจ้าพระยานที,"ฝั่งน้ำ, พระยา, สายน้ำ, เจ้าพระยา, แผ่อิทธิพล",ฝั่งน้ำ:desc_exact; พระยา:name_exact; สายน้ำ:desc_exact; เจ้าพระยา:name_exact; แผ่อิทธิพล:desc_exact
6,ชาติพันธุ์สราญ,"กลุ่มชาติพันธุ์, งานรื่นเริง, ชาติพันธุ์, นครปฐม, ร่มพระบารมี, ลาวครั่ง, ลาวเวียง, อินเดีย, ไทยจีน, ไทยทรงดำ, ไทยรามัญ",กลุ่มชาติพันธุ์:desc_exact; งานรื่นเริง:desc_fuzzy; ชาติพันธุ์:name_exact; นครปฐม:desc_exact; ร่มพระบารมี:desc_exact; ลาวครั่ง:desc_exact; ลาวเวียง:desc_exact; อินเดีย:desc_fuzzy; ไทยจีน:desc_exact; ไทยทรงดำ:desc_exact; ไทยรามัญ:desc_exact
7,นาฏยมวยไทย,"บรรพบุรุษ, ป้องกันตัว, มวยโบราณ, มวยไทย, ศิลปะป้องกันตัว",บรรพบุรุษ:desc_exact; ป้องกันตัว:desc_exact; มวยโบราณ:name_exact; มวยไทย:name_exact; ศิลปะป้องกันตัว:desc_exact
8,ตะกล้อล้อท่า,"กระบวนท่ารำ, การละเล่นพื้นเมือง, ชาวพื้นเมือง, ตะกร้อ, ตีลังกา, นานาชาติ, ระดับชาติ, ศีรษะ, สากล, แม่ท่า",กระบวนท่ารำ:desc_fuzzy; การละเล่นพื้นเมือง:desc_exact; ชาวพื้นเมือง:desc_exact; ตะกร้อ:desc_exact; ตีลังกา:desc_exact; นานาชาติ:desc_exact; ระดับชาติ:desc_exact; ศีรษะ:desc_exact; สากล:desc_exact; แม่ท่า:desc_exact
9,พนาธาร,"ของป่า, เคลื่อนไหว",ของป่า:desc_exact; เคลื่อนไหว:desc_exact
10,นักษัตร,"กระบวนท่ารำ, นักษัตร, เคลื่อนไหว, เวที",กระบวนท่ารำ:desc_fuzzy; นักษัตร:name_exact; เคลื่อนไหว:desc_exact; เวที:desc_exact
