ลำดับ,ชื่อชุดการแสดง,words,match_sources
1,กรุงเทพ,"กระทุ้ง, กระบวนท่ารำ, กรุงรัตนโกสินทร์, กรุงลงกา, กรุงเทพ, การรบ, กินเนสส์บุ๊ค, นนทก, นางฟ้า, วาดภาพ, วานร, หนังใหญ่, ออกรบ, เทวดา, เวที",กระทุ้ง:name_fuzzy; กระบวนท่ารำ:desc_fuzzy; กรุงรัตนโกสินทร์:name_fuzzy; กรุงลงกา:name_fuzzy; กรุงเทพ:name_exact; การรบ:desc_fuzzy; กินเนสส์บุ๊ค:desc_exact; นนทก:desc_fuzzy; นางฟ้า:desc_exact; วาดภาพ:desc_exact; วานร:desc_fuzzy; หนังใหญ่:desc_exact; ออกรบ:desc_fuzzy; เทวดา:desc_exact; เวที:desc_fuzzy
2,จตุรภาคี,"กะลา, ชาวเหนือ, ตารี, ตารีกีปัส, ภาคกลาง, ภาคตะวันออกเฉียงเหนือ, ภาคเหนือ, ภาคใต้, ลำเพลิน, สากล, สี่ภาค, เถิดเทิง, เพลงไทย",กะลา:desc_fuzzy; ชาวเหนือ:desc_fuzzy; ตารี:desc_exact; ตารีกีปัส:desc_exact; ภาคกลาง:desc_exact; ภาคตะวันออกเฉียงเหนือ:desc_exact; ภาคเหนือ:desc_exact; ภาคใต้:desc_exact; ลำเพลิน:desc_fuzzy; สากล:desc_fuzzy; สี่ภาค:desc_exact; เถิดเทิง:desc_exact; เพลงไทย:desc_fuzzy
3,กีปัสเรนัง,"ขบวนแห่, ขับลำ, ขับไล่, ชาวพื้นเมือง, ตารี, ตารีกีปัส, ธงไทย, บุหงา, บุหรงซีงอ, ปัดเป่า, ปัตตานี, พัดเรนัง, ภาคใต้, มลายู, วานร",ขบวนแห่:desc_exact; ขับลำ:desc_fuzzy; ขับไล่:desc_exact; ชาวพื้นเมือง:desc_exact; ตารี:desc_fuzzy; ตารีกีปัส:name_fuzzy; ธงไทย:desc_fuzzy; บุหงา:desc_fuzzy; บุหรงซีงอ:desc_exact; ปัดเป่า:desc_exact; ปัตตานี:desc_exact; พัดเรนัง:name_fuzzy; ภาคใต้:desc_exact; มลายู:desc_exact; วานร:desc_fuzzy
4,เจ้าพระยานที,"กะลา, การรบ, ชาวนา, ธงไทย, ฝั่งน้ำ, พระชายา, พระยา, พี่เลี้ยง, มรกต, วานร, สายน้ำ, อาสา, เจ้าพระยา, เทพเจ้า, แผ่อิทธิพล",กะลา:desc_fuzzy; การรบ:desc_fuzzy; ชาวนา:desc_fuzzy; ธงไทย:desc_fuzzy; ฝั่งน้ำ:desc_exact; พระชายา:name_fuzzy; พระยา:name_exact; พี่เลี้ยง:desc_fuzzy; มรกต:desc_fuzzy; วานร:desc_fuzzy; สายน้ำ:desc_exact; อาสา:desc_fuzzy; เจ้าพระยา:name_exact; เทพเจ้า:name_fuzzy; แผ่อิทธิพล:desc_exact
5,ชาติพันธุ์สราญ,"กลุ่มชาติพันธุ์, งานรื่นเริง, ชาติพันธุ์, ชาวพื้นเมือง, นครปฐม, นักษัตร, พระพรหม, พระสวามี, ร่มพระบารมี, ลาวครั่ง, ลาวเวียง, วานร, ไทยจีน, ไทยทรงดำ, ไทยรามัญ",กลุ่มชาติพันธุ์:name_fuzzy; งานรื่นเริง:desc_fuzzy; ชาติพันธุ์:name_exact; ชาวพื้นเมือง:name_fuzzy; นครปฐม:desc_exact; นักษัตร:desc_fuzzy; พระพรหม:desc_fuzzy; พระสวามี:desc_fuzzy; ร่มพระบารมี:desc_exact; ลาวครั่ง:desc_exact; ลาวเวียง:desc_exact; วานร:desc_fuzzy; ไทยจีน:desc_exact; ไทยทรงดำ:desc_exact; ไทยรามัญ:desc_exact
6,นบนที,"กระทุ้ง, กะลา, ขอขมา, ทางธรรมชาติ, ผู้มีพระคุณ, พระคเณศ, พระแม่คงคา, ลอยกระทง, ลายเส้น, สะล้อ, สายน้ำ, สิ่งศักดิ์สิทธิ์",กระทุ้ง:desc_fuzzy; กะลา:desc_fuzzy; ขอขมา:desc_exact; ทางธรรมชาติ:desc_fuzzy; ผู้มีพระคุณ:desc_fuzzy; พระคเณศ:desc_fuzzy; พระแม่คงคา:desc_exact; ลอยกระทง:desc_exact; ลายเส้น:desc_fuzzy; สะล้อ:desc_fuzzy; สายน้ำ:desc_exact; สิ่งศักดิ์สิทธิ์:desc_exact
7,ชาวดอย,"การละเล่นพื้นเมือง, จิตรกรรม, ชาวนา, ชาวพื้นเมือง, ชาวเหนือ, ทะเล, ทางธรรมชาติ, นักษัตร, ภาคเหนือ, วาจา, เกษตรกรรม",การละเล่นพื้นเมือง:desc_exact; จิตรกรรม:desc_fuzzy; ชาวนา:name_fuzzy; ชาวพื้นเมือง:name_exact; ชาวเหนือ:desc_fuzzy; ทะเล:desc_fuzzy; ทางธรรมชาติ:desc_fuzzy; นักษัตร:desc_fuzzy; ภาคเหนือ:desc_exact; วาจา:desc_fuzzy; เกษตรกรรม:desc_exact
8,นักษัตร,"กระบวนท่ารำ, กะลา, ธงไทย, นักษัตร, ผู้ครองนคร, พระมหากษัตริย์, มลายู, วาจา, สากล, องคต, เคลื่อนไหว, เวที",กระบวนท่ารำ:desc_fuzzy; กะลา:desc_fuzzy; ธงไทย:desc_fuzzy; นักษัตร:name_exact; ผู้ครองนคร:desc_fuzzy; พระมหากษัตริย์:name_fuzzy; มลายู:desc_fuzzy; วาจา:desc_fuzzy; สากล:desc_fuzzy; องคต:desc_fuzzy; เคลื่อนไหว:desc_exact; เวที:desc_exact
9,นาฏยมวยไทย,"ต้นขา, ธงไทย, บรรพต, บรรพบุรุษ, ปางลีลา, ป้องกันตัว, มวยโบราณ, มวยไทย, มโนราห์, ศิลปะป้องกันตัว, แต่งตัว, แปลงตัว",ต้นขา:desc_fuzzy; ธงไทย:name_fuzzy; บรรพต:desc_fuzzy; บรรพบุรุษ:desc_exact; ปางลีลา:desc_fuzzy; ป้องกันตัว:desc_exact; มวยโบราณ:name_exact; มวยไทย:name_exact; มโนราห์:desc_fuzzy; ศิลปะป้องกันตัว:desc_exact; แต่งตัว:desc_fuzzy; แปลงตัว:desc_fuzzy
10,ตะกล้อล้อท่า,"กระบวนท่ารำ, การละเล่นพื้นเมือง, ชาวพื้นเมือง, ตะกร้อ, ตีลังกา, ธงไทย, นานาชาติ, ปางลีลา, ระดับชาติ, ศีรษะ, สะล้อ, สากล, อาสา, เต้นสาก, แม่ท่า",กระบวนท่ารำ:desc_fuzzy; การละเล่นพื้นเมือง:desc_exact; ชาวพื้นเมือง:desc_exact; ตะกร้อ:name_fuzzy; ตีลังกา:desc_exact; ธงไทย:desc_fuzzy; นานาชาติ:desc_exact; ปางลีลา:desc_fuzzy; ระดับชาติ:desc_exact; ศีรษะ:desc_exact; สะล้อ:name_fuzzy; สากล:desc_exact; อาสา:desc_fuzzy; เต้นสาก:desc_fuzzy; แม่ท่า:desc_exact
