ลำดับ,ชื่อชุดการแสดง,words,match_sources
1,กรุงเทพ,"กระบวนท่ารำ, กรุงเทพ, การรบ, กินเนสส์บุ๊ค, นนทก, นางฟ้า, วาจา, วาดภาพ, วานร, หนังใหญ่, ออกรบ, เทวดา, เวที",กระบวนท่ารำ:desc_fuzzy; กรุงเทพ:name_exact; การรบ:desc_fuzzy; กินเนสส์บุ๊ค:desc_exact; นนทก:desc_fuzzy; นางฟ้า:desc_exact; วาจา:desc_fuzzy; วาดภาพ:desc_exact; วานร:desc_fuzzy; หนังใหญ่:desc_exact; ออกรบ:desc_fuzzy; เทวดา:desc_exact; เวที:desc_fuzzy
2,จตุรภาคี,"กะลา, ชาวเหนือ, ตารี, ตารีกีปัส, ภาคกลาง, ภาคตะวันออกเฉียงเหนือ, ภาคเหนือ, ภาคใต้, สากล, สี่ภาค, เถิดเทิง, เพลงไทย",กะลา:desc_fuzzy; ชาวเหนือ:desc_fuzzy; ตารี:desc_exact; ตารีกีปัส:desc_exact; ภาคกลาง:desc_exact; ภาคตะวันออกเฉียงเหนือ:desc_exact; ภาคเหนือ:desc_exact; ภาคใต้:desc_exact; สากล:desc_fuzzy; สี่ภาค:desc_exact; เถิดเทิง:desc_exact; เพลงไทย:desc_fuzzy
3,เจ้าพระยานที,"กะลา, การรบ, ชาวนา, ธงไทย, ฝั่งน้ำ, พระยา, พี่เลี้ยง, มรกต, วาจา, วานร, สายน้ำ, อาสา, เจ้าพระยา, แผ่อิทธิพล",กะลา:desc_fuzzy; การรบ:desc_fuzzy; ชาวนา:desc_fuzzy; ธงไทย:desc_fuzzy; ฝั่งน้ำ:desc_exact; พระยา:name_exact; พี่เลี้ยง:desc_fuzzy; มรกต:desc_fuzzy; วาจา:desc_fuzzy; วานร:desc_fuzzy; สายน้ำ:desc_exact; อาสา:desc_fuzzy; เจ้าพระยา:name_exact; แผ่อิทธิพล:desc_exact
4,กีปัสเรนัง,"ขบวนแห่, ขับลำ, ขับไล่, ชาวพื้นเมือง, ตารี, ธงไทย, บุหงา, บุหรงซีงอ, ปัดเป่า, ปัตตานี, พัดเรนัง, ภาคใต้, มลายู, วาจา, วานร",ขบวนแห่:desc_exact; ขับลำ:desc_fuzzy; ขับไล่:desc_exact; ชาวพื้นเมือง:desc_exact; ตารี:desc_fuzzy; ธงไทย:desc_fuzzy; บุหงา:desc_fuzzy; บุหรงซีงอ:desc_exact; ปัดเป่า:desc_exact; ปัตตานี:desc_exact; พัดเรนัง:name_fuzzy; ภาคใต้:desc_exact; มลายู:desc_exact; วาจา:desc_fuzzy; วานร:desc_fuzzy
5,ชาติพันธุ์สราญ,"กลุ่มชาติพันธุ์, งานรื่นเริง, ชาติพันธุ์, ชาวพื้นเมือง, นครปฐม, นักษัตร, พระสวามี, ร่มพระบารมี, ลาวครั่ง, ลาวเวียง, วานร, สากล, ไทยจีน, ไทยทรงดำ, ไทยรามัญ",กลุ่มชาติพันธุ์:name_fuzzy; งานรื่นเริง:desc_fuzzy; ชาติพันธุ์:name_exact; ชาวพื้นเมือง:name_fuzzy; นครปฐม:desc_exact; นักษัตร:desc_fuzzy; พระสวามี:desc_fuzzy; ร่มพระบารมี:desc_exact; ลาวครั่ง:desc_exact; ลาวเวียง:desc_exact; วานร:desc_fuzzy; สากล:desc_fuzzy; ไทยจีน:desc_exact; ไทยทรงดำ:desc_exact; ไทยรามัญ:desc_exact
6,ชาวดอย,"การละเล่นพื้นเมือง, จิตรกรรม, ชาวนา, ชาวพื้นเมือง, ชาวเหนือ, ทะเล, ทางธรรมชาติ, นักษัตร, ภาคเหนือ, วาจา, เกษตรกรรม",การละเล่นพื้นเมือง:desc_exact; จิตรกรรม:desc_fuzzy; ชาวนา:name_fuzzy; ชาวพื้นเมือง:name_exact; ชาวเหนือ:desc_fuzzy; ทะเล:desc_fuzzy; ทางธรรมชาติ:desc_fuzzy; นักษัตร:desc_fuzzy; ภาคเหนือ:desc_exact; วาจา:desc_fuzzy; เกษตรกรรม:desc_exact
7,ตะกล้อล้อท่า,"กระบวนท่ารำ, การรบ, การละเล่นพื้นเมือง, ชาวพื้นเมือง, ตะกร้อ, ตีลังกา, ธงไทย, นานาชาติ, ระดับชาติ, ศีรษะ, สะล้อ, สากล, อาสา, แม่ท่า, ใบชา",กระบวนท่ารำ:desc_fuzzy; การรบ:desc_fuzzy; การละเล่นพื้นเมือง:desc_exact; ชาวพื้นเมือง:desc_exact; ตะกร้อ:name_fuzzy; ตีลังกา:desc_exact; ธงไทย:desc_fuzzy; นานาชาติ:desc_exact; ระดับชาติ:desc_exact; ศีรษะ:desc_exact; สะล้อ:name_fuzzy; สากล:desc_exact; อาสา:desc_fuzzy; แม่ท่า:desc_exact; ใบชา:desc_fuzzy
8,นบนที,"กระทุ้ง, กะลา, ขอขมา, ทางธรรมชาติ, ผู้มีพระคุณ, พระแม่คงคา, ลอยกระทง, สะล้อ, สายน้ำ, สิ่งศักดิ์สิทธิ์",กระทุ้ง:desc_fuzzy; กะลา:desc_fuzzy; ขอขมา:desc_exact; ทางธรรมชาติ:desc_fuzzy; ผู้มีพระคุณ:desc_fuzzy; พระแม่คงคา:desc_exact; ลอยกระทง:desc_exact; สะล้อ:desc_fuzzy; สายน้ำ:desc_exact; สิ่งศักดิ์สิทธิ์:desc_exact
9,นักษัตร,"กระบวนท่ารำ, กะลา, ธงไทย, นักษัตร, ผู้ครองนคร, มลายู, วาจา, สากล, องคต, เคลื่อนไหว, เวที",กระบวนท่ารำ:desc_fuzzy; กะลา:desc_fuzzy; ธงไทย:desc_fuzzy; นักษัตร:name_exact; ผู้ครองนคร:desc_fuzzy; มลายู:desc_fuzzy; วาจา:desc_fuzzy; สากล:desc_fuzzy; องคต:desc_fuzzy; เคลื่อนไหว:desc_exact; เวที:desc_exact
10,นาฏ ณ วัง,"กะลา, การทอ, การสอน, พระยา, พระราชวังบวรสถานมงคล, พระราม, มรกต, วังหน้า, วาจา, สากล, หนังใหญ่, ออกรบ, เคลื่อนไหว, เวที",กะลา:desc_fuzzy; การทอ:desc_fuzzy; การสอน:desc_fuzzy; พระยา:desc_fuzzy; พระราชวังบวรสถานมงคล:desc_exact; พระราม:desc_fuzzy; มรกต:desc_fuzzy; วังหน้า:desc_exact; วาจา:desc_fuzzy; สากล:desc_fuzzy; หนังใหญ่:desc_exact; ออกรบ:desc_fuzzy; เคลื่อนไหว:desc_exact; เวที:desc_exact
