item_name,item_key_norm,predicted_count,gold_count,TP,FP,FN,predicted_tokens,gold_tokens,tp_tokens,fp_tokens,fn_tokens
กระทบสากหรือกระทบไม้,กระทบสากหรือกระทบไม้,15,10,9,6,1,"กระทบไม้, กระทุ้ง, การละเล่นพื้นเมือง, กิจวัตร, ธงไทย, พระจันทร์, ภาคอีสาน, วานร, สากตำข้าว, สากล, สุรินทร์, อีสาน, เครื่องประกอบจังหวะ, เครื่องแบบ, เต้นสาก","กระทบไม้, การละเล่นพื้นเมือง, กิจวัตร, พระจันทร์, ภาคอีสาน, สากตําข้าว, สุรินทร์, อีสาน, เครื่องประกอบจังหวะ, เต้นสาก","กระทบไม้, การละเล่นพื้นเมือง, กิจวัตร, พระจันทร์, ภาคอีสาน, สุรินทร์, อีสาน, เครื่องประกอบจังหวะ, เต้นสาก","กระทุ้ง, ธงไทย, วานร, สากตำข้าว, สากล, เครื่องแบบ",สากตําข้าว
กราววีรชัยยักษ์,กราววีรชัยยักษ์,9,3,3,6,0,"กระบวนท่ารำ, กราววีรชัยลิง, กองทัพ, จัดทัพ, รังควาญ, รามเกียรติ์, วาจา, เกียรติศักดิ์ไทย, เต้นสาก","กองทัพ, จัดทัพ, รามเกียรติ์","กองทัพ, จัดทัพ, รามเกียรติ์","กระบวนท่ารำ, กราววีรชัยลิง, รังควาญ, วาจา, เกียรติศักดิ์ไทย, เต้นสาก",
กราววีรชัยลิง,กราววีรชัยลิง,15,9,8,7,1,"กราววีรชัยลิง, กองทัพ, การต่อสู้, การรบ, ความคล่องแคล่ว, ต่อสู้, พระยา, พระราม, พลลิง, รามเกียรติ์, วานร, สิบแปดมงกุฎ, องคต, อสูร, อาหาร","กราววีรชยลิง, กองทัพ, การต่อสู้, ความคล่องแคล่ว, ต่อสู้, พระราม, รามเกียรติ์, วานร, สิบแปดมงกุฎ","กองทัพ, การต่อสู้, ความคล่องแคล่ว, ต่อสู้, พระราม, รามเกียรติ์, วานร, สิบแปดมงกุฎ","กราววีรชัยลิง, การรบ, พระยา, พลลิง, องคต, อสูร, อาหาร",กราววีรชยลิง
กรุงเทพ,กรุงเทพ,15,6,6,9,0,"กระทุ้ง, กระบวนท่ารำ, กรุงรัตนโกสินทร์, กรุงลงกา, กรุงเทพ, การรบ, กินเนสส์บุ๊ค, นนทก, นางฟ้า, วาดภาพ, วานร, หนังใหญ่, ออกรบ, เทวดา, เวที","กรุงเทพ, กินเนสส์บุ๊ค, นางฟ้า, วาดภาพ, หนังใหญ่, เทวดา","กรุงเทพ, กินเนสส์บุ๊ค, นางฟ้า, วาดภาพ, หนังใหญ่, เทวดา","กระทุ้ง, กระบวนท่ารำ, กรุงรัตนโกสินทร์, กรุงลงกา, การรบ, นนทก, วานร, ออกรบ, เวที",
กลองสะบัดชัย,กลองสะบัดชัย,15,9,9,6,0,"กลองยาว, กลองสะบัดชัย, การตีกลอง, ขบวนแห่, ข้าศึก, ความคล่องแคล่ว, ชาวพื้นเมือง, ธงไทย, พิธีทางศาสนา, ภาคเหนือ, ล้านนา, สงคราม, องคต, อสูร, ออกรบ","กลองสะบัดชัย, การตีกลอง, ขบวนแห่, ข้าศึก, พิธีทางศาสนา, ภาคเหนือ, ล้านนา, สงคราม, ออกรบ","กลองสะบัดชัย, การตีกลอง, ขบวนแห่, ข้าศึก, พิธีทางศาสนา, ภาคเหนือ, ล้านนา, สงคราม, ออกรบ","กลองยาว, ความคล่องแคล่ว, ชาวพื้นเมือง, ธงไทย, องคต, อสูร",
การแสดงโขนเรื่องรามเกียรติ์ ชุดยกรบ,การแสดงโขนเรื่องรามเกียรติ์ ชุดยกรบ,15,14,14,1,0,"กรุงลงกา, กองทัพ, การขึ้นลอย, การรบ, การสอน, ชั้นเชิง, ทศกัณฐ์, พระราม, พระลักษมณ์, พลวานร, รามเกียรติ์, วานร, สงคราม, อาวุธ, ไพร่พล","กรุงลงกา, กองทัพ, การขึ้นลอย, การรบ, ชั้นเชิง, ทศกัณฐ์, พระราม, พระลักษมณ์, พลวานร, รามเกียรติ์, วานร, สงคราม, อาวุธ, ไพร่พล","กรุงลงกา, กองทัพ, การขึ้นลอย, การรบ, ชั้นเชิง, ทศกัณฐ์, พระราม, พระลักษมณ์, พลวานร, รามเกียรติ์, วานร, สงคราม, อาวุธ, ไพร่พล",การสอน,
การแสดงโขนเรื่องรามเกียรติ์ ตอน กุมภกรรณพุ่งหอกโมกขศักดิ์,การแสดงโขนเรื่องรามเกียรติ์ ตอน กุมภกรรณพุ่งหอกโมกขศักดิ์,15,17,14,1,3,"กรุงลงกา, การศึก, กุมภกรรณ, ขับไล่, นางสีดา, พระพรหม, พระราม, มัยราพณ์, มีฤทธิ์, รามเกียรติ์, สิ้นชีพ, หอกโมกขศักดิ์, อนุชา, อาสา, อุปราช","กรุงลงกา, การศึก, กุมภกรรณ, ขับไล่, ทศกัณฐ์, นางสีดา, พระพรหม, พระราม, มัยราพณ์, มีฤทธิ์, รับอาสา, สงคราม, สิ้นชีพ, หอกโมกขศักดิ์, อนุชา, อาสา, อุปราช","กรุงลงกา, การศึก, กุมภกรรณ, ขับไล่, นางสีดา, พระพรหม, พระราม, มัยราพณ์, มีฤทธิ์, สิ้นชีพ, หอกโมกขศักดิ์, อนุชา, อาสา, อุปราช",รามเกียรติ์,"ทศกัณฐ์, รับอาสา, สงคราม"
การแสดงโขนเรื่องรามเกียรติ์ ตอน ขับพิเภก,การแสดงโขนเรื่องรามเกียรติ์ ตอน ขับพิเภก,15,22,14,1,8,"กรุงลงกา, กลายร่าง, การศึก, จุดไฟ, ติดมือ, ทำนาย, น้ำมันยาง, ปราชัย, พิเภก, รับใช้, รามเกียรติ์, สะเดาะ, สำมนักขา, ไฟไหม้, ไส้กะลา","กรุงลงกา, กลายร่าง, กะลา, การศึก, ขับไล่, จุดไฟ, ติดมือ, ทศกัณฐ์, ทำนาย, นางสีดา, น้ำมันยาง, ปราชัย, พระญาติ, พระราม, พระลาน, พิเภก, รับใช้, สะเดาะ, สำมนักขา, ให้ร้าย, ไฟไหม้, ไส้กะลา","กรุงลงกา, กลายร่าง, การศึก, จุดไฟ, ติดมือ, ทำนาย, น้ำมันยาง, ปราชัย, พิเภก, รับใช้, สะเดาะ, สำมนักขา, ไฟไหม้, ไส้กะลา",รามเกียรติ์,"กะลา, ขับไล่, ทศกัณฐ์, นางสีดา, พระญาติ, พระราม, พระลาน, ให้ร้าย"
การแสดงโขนเรื่องรามเกียรติ์ ตอน  จองถนน,การแสดงโขนเรื่องรามเกียรติ์ ตอน จองถนน,15,18,14,1,4,"กราบทูล, กรุงลงกา, ขีดขิน, จองถนน, ชามพูวราช, บรรพต, พลลิง, พลวานร, รามเกียรติ์, วานร, วิดน้ำ, สำเภา, อาสา, เมืองชมพู, ไพร่พล","กราบทูล, กรุงลงกา, ขีดขิน, จองถนน, ชามพูวราช, ทะเล, บรรพต, พระราม, พระเมรุ, พลลิง, พลวานร, วานร, วิดน้ำ, สำเภา, อาสา, เมืองขีดขิน, เมืองชมพู, ไพร่พล","กราบทูล, กรุงลงกา, ขีดขิน, จองถนน, ชามพูวราช, บรรพต, พลลิง, พลวานร, วานร, วิดน้ำ, สำเภา, อาสา, เมืองชมพู, ไพร่พล",รามเกียรติ์,"ทะเล, พระราม, พระเมรุ, เมืองขีดขิน"
การแสดงโขนเรื่องรามเกียรติ์ ตอน นางลอย,การแสดงโขนเรื่องรามเกียรติ์ ตอน นางลอย,15,14,14,1,0,"กรุงลงกา, กองทัพ, จำแลง, ทศกัณฐ์, ทำนาย, นางสีดา, พระราม, พลับพลา, พิเภก, รามเกียรติ์, สงคราม, สะเดาะ, สะเดาะเคราะห์, เบญกาย, แม่น้ำ","กรุงลงกา, กองทัพ, จำแลง, ทศกัณฐ์, ทำนาย, นางสีดา, พระราม, พลับพลา, พิเภก, สงคราม, สะเดาะ, สะเดาะเคราะห์, เบญกาย, แม่น้ำ","กรุงลงกา, กองทัพ, จำแลง, ทศกัณฐ์, ทำนาย, นางสีดา, พระราม, พลับพลา, พิเภก, สงคราม, สะเดาะ, สะเดาะเคราะห์, เบญกาย, แม่น้ำ",รามเกียรติ์,
