user_id,performance_arts_name,Rating,context,item_norm,keywords_list
บุคคล1,กรุงเทพ,4,วันขึ้นปีใหม่,กรุงเทพ,"['กระบวนท่ารำ', 'กรุงเทพมหานคร', 'การรบ', 'กินเนสส์บุ๊ค', 'นางฟ้า', 'วาดภาพ', 'หนังใหญ่', 'เทวดา']"
บุคคล1,การแสดงโขนเรื่องรามเกียรติ์ ชุดยกรบ,5,งานฌาปนกิจศพ,การแสดงโขนเรื่องรามเกียรติ์ ชุดยกรบ,"['กรุงลงกา', 'กองทัพ', 'การขึ้นลอย', 'การรบ', 'ชั้นเชิง', 'ทศกัณฐ์', 'พระราม', 'พระลักษมณ์', 'วานร', 'สงคราม', 'สีน้ำเงิน', 'ไพร่พล']"
บุคคล1,การแสดงโขนเรื่องรามเกียรติ์ ตอน นางลอย,5,งานพระราชทานเพลิงศพ,การแสดงโขนเรื่องรามเกียรติ์ ตอน นางลอย,"['กรุงลงกา', 'กองทัพ', 'การยุติ', 'การศึก', 'ทศกัณฐ์', 'ทำนาย', 'นางสีดา', 'พระราม', 'พลับพลา', 'พิเภก', 'สงคราม', 'สะเดาะเคราะห์', 'สีน้ำเงิน', 'เบญกาย', 'แหล่งน้ำ']"
บุคคล1,การแสดงโขนเรื่องรามเกียรติ์ ตอน นางลอย,4,การเผยแพร่วัฒนธรรมต่างประเทศ,การแสดงโขนเรื่องรามเกียรติ์ ตอน นางลอย,"['กรุงลงกา', 'กองทัพ', 'การยุติ', 'การศึก', 'ทศกัณฐ์', 'ทำนาย', 'นางสีดา', 'พระราม', 'พลับพลา', 'พิเภก', 'สงคราม', 'สะเดาะเคราะห์', 'สีน้ำเงิน', 'เบญกาย', 'แหล่งน้ำ']"
บุคคล1,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,5,งานฌาปนกิจศพ,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,"['กวางทอง', 'กากนาสูร', 'ทศกัณฐ์', 'นางสีดา', 'พระยา', 'พระราม', 'มารีศ', 'อุบาย', 'แปลงกาย']"
บุคคล1,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,5,งานสวดอภิธรรม,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,"['กวางทอง', 'กากนาสูร', 'ทศกัณฐ์', 'นางสีดา', 'พระยา', 'พระราม', 'มารีศ', 'อุบาย', 'แปลงกาย']"
บุคคล1,กินนรีร่อนออกมโนราห์บูชายัญ,4,งานไหว้ครู,กินนรีร่อนออกมโนราห์บูชายัญ,"['กระบวนท่ารำ', 'กินรี', 'บูชายัญ', 'มโนราห์', 'ละครชาตรี', 'สระอโนดาต', 'เล่นน้ำ']"
บุคคล1,ชาวดอย,4,งานเปิดบริษัท,ชาวดอย,"['การประกอบอาชีพ', 'ผูกพัน', 'ภาคเหนือ', 'สืบทอด', 'เกษตรกรรม']"
บุคคล1,ผืนไท,4,งานทำบุญ,ผืนไท,"['ธงไทย', 'พระมหากษัตริย์', 'ร่มเย็น', 'อาณาประชาราษฎร์']"
บุคคล1,ฟ้อนดวงเดือน,4,งานสวดมนต์ข้ามปี,ฟ้อนดวงเดือน,"['การเกี้ยวพาราสี', 'ชายหนุ่ม', 'พระนิพนธ์', 'หญิงสาว', 'เพลงอัตราจังหวะสองชั้น']"
